"","x_","y_","t_","dt"
"1",357940.8739,-368949.625,2012-10-28 17:00:00,1H 0M 0S
"2",380242.585013088,-367206.247796088,2012-10-28 18:00:00,1H 0M 0S
"3",376875.116766356,-368095.138271405,2012-10-28 19:00:00,1H 0M 0S
"4",389798.624569988,-363610.881370606,2012-10-28 20:00:00,1H 0M 0S
"5",378092.173737188,-345288.626815556,2012-10-28 21:00:00,1H 0M 0S
"6",386569.722075727,-347568.277583832,2012-10-28 22:00:00,1H 0M 0S
"7",386868.069570359,-347511.487498332,2012-10-28 23:00:00,1H 0M 0S
"8",389047.553846347,-348201.807368562,2012-10-29 00:00:00,1H 0M 0S
"9",392154.773880595,-337467.904640891,2012-10-29 01:00:00,1H 0M 0S
"10",388367.843901201,-352875.191418287,2012-10-29 02:00:00,1H 0M 0S
"11",399756.230184919,-357713.661638298,2012-10-29 03:00:00,1H 0M 0S
"12",387856.546908651,-363953.017514026,2012-10-29 04:00:00,1H 0M 0S
"13",388853.68526064,-373938.457271072,2012-10-29 05:00:00,1H 0M 0S
"14",391308.572034309,-387436.069742476,2012-10-29 06:00:00,1H 0M 0S
"15",393293.965885039,-393135.560140885,2012-10-29 07:00:00,1H 0M 0S
"16",394162.754082177,-395654.162033244,2012-10-29 08:00:00,1H 0M 0S
"17",393569.742873686,-397530.661978551,2012-10-29 09:00:00,1H 0M 0S
"18",383183.212006314,-416180.500878085,2012-10-29 10:00:00,1H 0M 0S
"19",375683.949747707,-408280.389519174,2012-10-29 11:00:00,1H 0M 0S
"20",353184.310573067,-408760.935920572,2012-10-29 12:00:00,1H 0M 0S
"21",345217.871881479,-400463.195608246,2012-10-29 13:00:00,1H 0M 0S
"22",341705.021029567,-400711.899527269,2012-10-29 14:00:00,1H 0M 0S
"23",340347.235840474,-400718.472209031,2012-10-29 15:00:00,1H 0M 0S
"24",340860.933743026,-400163.001205863,2012-10-29 16:00:00,1H 0M 0S
"25",339100.344594201,-399539.657649643,2012-10-29 17:00:00,1H 0M 0S
"26",338533.991869373,-399916.919208948,2012-10-29 18:00:00,1H 0M 0S
"27",338719.737330049,-396298.018629957,2012-10-29 19:00:00,1H 0M 0S
"28",346934.048089321,-398825.799833125,2012-10-29 20:00:00,1H 0M 0S
"29",335056.570653906,-401446.459299959,2012-10-29 21:00:00,1H 0M 0S
"30",332471.440398602,-403932.295436564,2012-10-29 22:00:00,1H 0M 0S
"31",320032.471274826,-399435.502114196,2012-10-29 23:00:00,1H 0M 0S
"32",325208.702911012,-373753.141565799,2012-10-30 00:00:00,1H 0M 0S
"33",333994.410681877,-374180.36049325,2012-10-30 01:00:00,1H 0M 0S
"34",345305.820807321,-363954.169699059,2012-10-30 02:00:00,1H 0M 0S
"35",373406.265555082,-382868.11299493,2012-10-30 03:00:00,1H 0M 0S
"36",370789.872564622,-389450.53984533,2012-10-30 04:00:00,1H 0M 0S
"37",372319.460854168,-394107.490693845,2012-10-30 05:00:00,1H 0M 0S
"38",373533.308021277,-392421.277872844,2012-10-30 06:00:00,1H 0M 0S
"39",394190.235575056,-415892.102678432,2012-10-30 07:00:00,1H 0M 0S
"40",387557.692497663,-419531.527627582,2012-10-30 08:00:00,1H 0M 0S
"41",390630.247148856,-426212.064613837,2012-10-30 09:00:00,1H 0M 0S
"42",400608.108398867,-437894.267022369,2012-10-30 10:00:00,1H 0M 0S
"43",401031.258845736,-438390.392076931,2012-10-30 11:00:00,1H 0M 0S
"44",404234.701043291,-439267.923207105,2012-10-30 12:00:00,1H 0M 0S
"45",394778.999984783,-442139.2769634,2012-10-30 13:00:00,1H 0M 0S
"46",391821.031574556,-437235.734284408,2012-10-30 14:00:00,1H 0M 0S
"47",390116.835106102,-437570.331065702,2012-10-30 15:00:00,1H 0M 0S
"48",390224.742289815,-442869.609405025,2012-10-30 16:00:00,1H 0M 0S
"49",389596.61594754,-438189.646868219,2012-10-30 17:00:00,1H 0M 0S
"50",386259.604645755,-435255.849077855,2012-10-30 18:00:00,1H 0M 0S
"51",379878.21836306,-430988.930760487,2012-10-30 19:00:00,1H 0M 0S
"52",375249.30809664,-433206.126427019,2012-10-30 20:00:00,1H 0M 0S
"53",362990.104516361,-430036.191798778,2012-10-30 21:00:00,1H 0M 0S
"54",361182.298726112,-437110.949062962,2012-10-30 22:00:00,1H 0M 0S
"55",363194.550879249,-442633.890033278,2012-10-30 23:00:00,1H 0M 0S
"56",346127.270128136,-442742.6566148,2012-10-31 00:00:00,1H 0M 0S
"57",346101.089497127,-442745.880006773,2012-10-31 01:00:00,1H 0M 0S
"58",342801.056926263,-427970.974082829,2012-10-31 02:00:00,1H 0M 0S
"59",342626.99840619,-426427.890085262,2012-10-31 03:00:00,1H 0M 0S
"60",342334.610601179,-423298.162291259,2012-10-31 04:00:00,1H 0M 0S
"61",344502.798841502,-428902.733170875,2012-10-31 05:00:00,1H 0M 0S
"62",349832.125932478,-448713.876809621,2012-10-31 06:00:00,1H 0M 0S
"63",337671.497564241,-467422.222515459,2012-10-31 07:00:00,1H 0M 0S
"64",325200.395545474,-458650.300773043,2012-10-31 08:00:00,1H 0M 0S
"65",322505.648278458,-459513.051998058,2012-10-31 09:00:00,1H 0M 0S
"66",319782.063382042,-461269.70999263,2012-10-31 10:00:00,1H 0M 0S
"67",327329.988893022,-462812.041420638,2012-10-31 11:00:00,1H 0M 0S
"68",330760.352287851,-466127.959698158,2012-10-31 12:00:00,1H 0M 0S
"69",340526.806177698,-465782.830646348,2012-10-31 13:00:00,1H 0M 0S
"70",345373.356457899,-464811.261910579,2012-10-31 14:00:00,1H 0M 0S
"71",342584.112398544,-461678.215722563,2012-10-31 15:00:00,1H 0M 0S
"72",348272.33484354,-459309.854032926,2012-10-31 16:00:00,1H 0M 0S
"73",383753.164584171,-464652.548607049,2012-10-31 17:00:00,1H 0M 0S
"74",380713.853756822,-480049.202837744,2012-10-31 18:00:00,1H 0M 0S
"75",371416.195811432,-479964.581144583,2012-10-31 19:00:00,1H 0M 0S
"76",348546.796453269,-466679.081440029,2012-10-31 20:00:00,1H 0M 0S
"77",348577.865290669,-465765.222461369,2012-10-31 21:00:00,1H 0M 0S
"78",352334.434541059,-466309.734629346,2012-10-31 22:00:00,1H 0M 0S
"79",358732.151808755,-467576.13098639,2012-10-31 23:00:00,1H 0M 0S
"80",359592.815346159,-456805.484493884,2012-11-01 00:00:00,1H 0M 0S
"81",355540.218168724,-437702.797762384,2012-11-01 01:00:00,1H 0M 0S
"82",311272.685965542,-427281.994118056,2012-11-01 02:00:00,1H 0M 0S
"83",311283.561055043,-420462.245098967,2012-11-01 03:00:00,1H 0M 0S
"84",329970.097222675,-405421.062849167,2012-11-01 04:00:00,1H 0M 0S
"85",351540.758504413,-398625.126644951,2012-11-01 05:00:00,1H 0M 0S
"86",354277.890426102,-399604.998406847,2012-11-01 06:00:00,1H 0M 0S
