lon,lat,date,id
352692.1938,-194444.9512,2013-02-02 14:00,116484_1
360281.4541,-195904.679,2013-02-03 14:00,116484_1
359524.5797,-195413.0192,2013-02-04 14:00,116484_1
370241.526,-195198.3755,2013-02-05 14:00,116484_1
379916.0617,-196716.5763,2013-02-06 14:00,116484_1
383005.2501,-193062.5346,2013-02-07 14:00,116484_1
381506.1611,-193947.5316,2013-02-08 14:00,116484_1
379078.5192,-193122.2743,2013-02-09 14:00,116484_1
378781.4786,-191275.7209,2013-02-10 14:00,116484_1
373730.2287,-192788.9022,2013-02-11 14:00,116484_1
388949.8124,-204642.8388,2013-02-12 14:00,116484_1
397279.4898,-210952.3224,2013-02-13 14:00,116484_1
400110.0709,-199259.804,2013-02-14 14:00,116484_1
415280.8767,-205515.4908,2013-02-15 14:00,116484_1
417541.6028,-214503.0384,2013-02-16 14:00,116484_1
425835.0738,-223221.4368,2013-02-17 14:00,116484_1
427079.0223,-230096.4225,2013-02-18 14:00,116484_1
427135.6699,-246480.7948,2013-02-19 14:00,116484_1
424229.4792,-247916.03,2013-02-20 14:00,116484_1
428407.4722,-251681.06,2013-02-21 14:00,116484_1
428101.0923,-253838.2981,2013-02-22 14:00,116484_1
427282.5632,-259215.7516,2013-02-23 14:00,116484_1
424932.1582,-264124.5745,2013-02-24 14:00,116484_1
426965.7605,-262448.4791,2013-02-25 14:00,116484_1
425279.6425,-259181.9457,2013-02-26 14:00,116484_1
426795.2669,-261608.0915,2013-02-27 14:00,116484_1
424427.1178,-262037.759,2013-02-28 14:00,116484_1
426812.3129,-270085.6572,2013-03-01 14:00,116484_1
420097.8284,-270131.6859,2013-03-02 14:00,116484_1
420023.4925,-269141.7648,2013-03-03 14:00,116484_1
421587.9391,-269854.7667,2013-03-04 14:00,116484_1
422628.7176,-272691.5347,2013-03-05 14:00,116484_1
421852.9878,-271327.8671,2013-03-06 14:00,116484_1
422992.7413,-272240.2246,2013-03-07 14:00,116484_1
422783.3338,-272073.4055,2013-03-08 14:00,116484_1
425347.6906,-277911.2762,2013-03-09 14:00,116484_1
430852.767,-278483.597,2013-03-10 14:00,116484_1
421799.7165,-274723.3536,2013-03-11 14:00,116484_1
418505.8967,-273192.2668,2013-03-12 14:00,116484_1
415724.9644,-275612.5668,2013-03-13 14:00,116484_1
410322.0878,-294253.9748,2013-03-14 14:00,116484_1
419397.7729,-309634.6277,2013-03-15 14:00,116484_1
429467.4827,-312204.6864,2013-03-16 14:00,116484_1
421164.3149,-299409.1812,2013-03-17 14:00,116484_1
